OrderDate,Month,Region,Category,Product,Quantity,UnitPrice,Revenue,Cost,Profit,MarginPct
2024-01-28,2024-01,North,Groceries,Tea,11,884.12,9725.32,6889.02,2836.3,29.2
2024-01-28,2024-01,East,Apparel,T-Shirt,4,72.58,290.32,167.59,122.73,42.3
2024-01-29,2024-01,East,Apparel,T-Shirt,2,383.42,766.84,447.5,319.34,41.6
2024-01-29,2024-01,North,Furniture,Desk,8,31.5,252,153.43,98.57,39.1
2024-01-29,2024-01,West,Groceries,Snacks,5,602.28,3011.4,1753.28,1258.12,41.8
2024-01-30,2024-01,North,Furniture,Chair,1,654.5,654.5,375.38,279.12,42.6
2024-01-30,2024-01,East,Apparel,T-Shirt,8,902.23,7217.84,5191.81,2026.03,28.1
2024-01-30,2024-01,South,Groceries,Tea,10,797.19,7971.9,6068.45,1903.45,23.9
2024-01-31,2024-01,North,Groceries,Tea,9,935.21,8416.89,6413.44,2003.45,23.8
2024-01-31,2024-01,West,Electronics,Headphones,9,815.9,7343.1,4853.53,2489.57,33.9
2024-01-31,2024-01,South,Groceries,Coffee,10,366.77,3667.7,2544.77,1122.93,30.6
2024-02-01,2024-02,West,Groceries,Coffee,4,851.56,3406.24,2205.16,1201.08,35.3
2024-02-01,2024-02,North,Electronics,Monitor,10,517.25,5172.5,4097.14,1075.36,20.8
2024-02-01,2024-02,East,Electronics,Headphones,4,138.34,553.36,331.91,221.45,40
2024-02-02,2024-02,South,Electronics,Laptop,5,568.43,2842.15,2259.8,582.35,20.5
2024-02-02,2024-02,West,Apparel,Jacket,6,622.76,3736.56,2551.72,1184.84,31.7
2024-02-02,2024-02,West,Electronics,Phone,11,882.86,9711.46,7682.78,2028.68,20.9
2024-02-03,2024-02,West,Electronics,Phone,10,64.26,642.6,486.55,156.05,24.3
2024-02-04,2024-02,West,Groceries,Snacks,3,879.31,2637.93,1544,1093.93,41.5
2024-02-04,2024-02,South,Apparel,Sneakers,9,459.25,4133.25,2973.42,1159.83,28.1
2024-02-05,2024-02,North,Furniture,Desk,2,499.25,998.5,677.22,321.28,32.2
2024-02-06,2024-02,North,Furniture,Bookshelf,7,777.29,5441.03,3473.05,1967.98,36.2
2024-02-06,2024-02,South,Groceries,Snacks,4,288.12,1152.48,751.85,400.63,34.8
2024-02-07,2024-02,West,Electronics,Laptop,5,746.93,3734.65,2617.41,1117.24,29.9
2024-02-07,2024-02,South,Furniture,Bookshelf,10,120.33,1203.3,804.12,399.18,33.2
2024-02-08,2024-02,North,Apparel,T-Shirt,4,724.14,2896.56,1866.86,1029.7,35.5
2024-02-09,2024-02,North,Furniture,Bookshelf,7,269.98,1889.86,1263.86,626,33.1
2024-02-09,2024-02,East,Apparel,Jacket,4,183.06,732.24,491.4,240.84,32.9
2024-02-10,2024-02,North,Electronics,Laptop,3,730.03,2190.09,1404.4,785.69,35.9
2024-02-11,2024-02,North,Electronics,Phone,10,52.06,520.6,306.4,214.2,41.1
2024-02-11,2024-02,West,Apparel,T-Shirt,10,53.37,533.7,368.73,164.97,30.9
2024-02-11,2024-02,North,Groceries,Snacks,2,989.69,1979.38,1235.57,743.81,37.6
2024-02-12,2024-02,North,Furniture,Desk,3,163.28,489.84,348.87,140.97,28.8
2024-02-13,2024-02,East,Furniture,Desk,8,886.13,7089.04,4904.47,2184.57,30.8
2024-02-13,2024-02,East,Furniture,Chair,1,947.61,947.61,590.26,357.35,37.7
2024-02-14,2024-02,West,Electronics,Monitor,6,802.18,4813.08,2925.74,1887.34,39.2
2024-02-14,2024-02,North,Apparel,Sneakers,1,57.42,57.42,34.95,22.47,39.1
2024-02-15,2024-02,West,Apparel,Jacket,10,200.52,2005.2,1545.78,459.42,22.9
2024-02-15,2024-02,East,Electronics,Phone,6,170.81,1024.86,600.29,424.57,41.4
2024-02-15,2024-02,North,Groceries,Tea,5,367.43,1837.15,1029.19,807.96,44
2024-02-16,2024-02,North,Apparel,T-Shirt,5,232.95,1164.75,841.68,323.07,27.7
2024-02-17,2024-02,North,Groceries,Coffee,3,42.59,127.77,85.01,42.76,33.5
2024-02-17,2024-02,West,Furniture,Bookshelf,3,678.21,2034.63,1435.58,599.05,29.4
2024-02-18,2024-02,North,Electronics,Laptop,5,419.24,2096.2,1514.97,581.23,27.7
2024-02-18,2024-02,West,Furniture,Bookshelf,5,174.15,870.75,656.46,214.29,24.6
2024-02-18,2024-02,East,Electronics,Monitor,3,592.64,1777.92,1302.51,475.41,26.7
2024-02-19,2024-02,West,Electronics,Headphones,2,376.05,752.1,502.65,249.45,33.2
2024-02-19,2024-02,East,Furniture,Bookshelf,1,517.67,517.67,407.21,110.46,21.3
2024-02-20,2024-02,North,Apparel,Jacket,7,542.89,3800.23,2690.71,1109.52,29.2
2024-02-20,2024-02,South,Groceries,Tea,7,176.61,1236.27,875.75,360.52,29.2
2024-02-20,2024-02,North,Groceries,Tea,7,951.91,6663.37,4932.29,1731.08,26
2024-02-21,2024-02,South,Apparel,Jacket,2,112.3,224.6,174.31,50.29,22.4
2024-02-21,2024-02,West,Groceries,Snacks,11,666.43,7330.73,5526.94,1803.79,24.6
2024-02-22,2024-02,North,Furniture,Chair,9,758.66,6827.94,5322.69,1505.25,22
2024-02-23,2024-02,North,Groceries,Snacks,10,127.84,1278.4,956.21,322.19,25.2
2024-02-23,2024-02,North,Apparel,Sneakers,5,119.22,596.1,432.62,163.48,27.4
2024-02-23,2024-02,South,Electronics,Laptop,8,317.16,2537.28,1457.66,1079.62,42.6
2024-02-24,2024-02,East,Apparel,T-Shirt,11,549.21,6041.31,4394.98,1646.33,27.3
2024-02-25,2024-02,South,Groceries,Coffee,4,225.38,901.52,683.96,217.56,24.1
2024-02-25,2024-02,South,Electronics,Laptop,9,44.78,403.02,282.89,120.13,29.8
2024-02-25,2024-02,South,Groceries,Coffee,4,874.12,3496.48,2381.3,1115.18,31.9
2024-02-26,2024-02,North,Groceries,Tea,1,774.6,774.6,574.48,200.12,25.8
2024-02-26,2024-02,North,Apparel,T-Shirt,11,241.56,2657.16,1981.08,676.08,25.4
2024-02-26,2024-02,South,Apparel,Jacket,10,371.65,3716.5,2076.78,1639.72,44.1
2024-02-27,2024-02,East,Electronics,Phone,2,721.71,1443.42,1033.69,409.73,28.4
2024-02-27,2024-02,North,Apparel,T-Shirt,8,357.95,2863.6,1878.83,984.77,34.4
2024-02-27,2024-02,East,Groceries,Tea,9,248.17,2233.53,1687.13,546.4,24.5
2024-02-28,2024-02,East,Apparel,Sneakers,1,831.27,831.27,490.35,340.92,41
2024-02-29,2024-02,South,Groceries,Tea,8,451.11,3608.88,2885.07,723.81,20.1
2024-03-01,2024-03,East,Electronics,Phone,4,418.83,1675.32,1082.96,592.36,35.4
2024-03-02,2024-03,East,Electronics,Laptop,1,853.69,853.69,577.96,275.73,32.3
2024-03-02,2024-03,West,Furniture,Desk,4,78.82,315.28,176.9,138.38,43.9
2024-03-03,2024-03,East,Furniture,Desk,3,841.8,2525.4,2017.73,507.67,20.1
2024-03-04,2024-03,North,Apparel,Jacket,5,261.2,1306,833.79,472.21,36.2
2024-03-04,2024-03,North,Electronics,Headphones,1,465.06,465.06,352.01,113.05,24.3
2024-03-05,2024-03,East,Groceries,Tea,11,52.58,578.38,459.43,118.95,20.6
2024-03-05,2024-03,East,Apparel,T-Shirt,8,144.58,1156.64,809.92,346.72,30
2024-03-06,2024-03,North,Groceries,Snacks,7,423.09,2961.63,1962.12,999.51,33.7
2024-03-06,2024-03,East,Furniture,Bookshelf,1,859.73,859.73,504.32,355.41,41.3
2024-03-07,2024-03,East,Furniture,Chair,2,783.34,1566.68,1214.67,352.01,22.5
2024-03-07,2024-03,South,Electronics,Headphones,10,559.66,5596.6,4188.99,1407.61,25.2
2024-03-07,2024-03,South,Electronics,Monitor,9,45.49,409.41,266.77,142.64,34.8
2024-03-08,2024-03,East,Groceries,Snacks,3,547.15,1641.45,1131.92,509.53,31
2024-03-09,2024-03,East,Electronics,Phone,1,469.05,469.05,336.62,132.43,28.2
2024-03-09,2024-03,South,Groceries,Coffee,4,79.6,318.4,215.77,102.63,32.2
2024-03-10,2024-03,West,Electronics,Phone,4,107.87,431.48,297.31,134.17,31.1
2024-03-10,2024-03,East,Groceries,Coffee,1,127.02,127.02,90.37,36.65,28.9
2024-03-10,2024-03,South,Apparel,T-Shirt,11,912.77,10040.47,5865.24,4175.23,41.6
2024-03-11,2024-03,West,Apparel,Jacket,10,34.25,342.5,222.32,120.18,35.1
2024-03-12,2024-03,West,Groceries,Coffee,5,62.75,313.75,224.58,89.17,28.4
2024-03-12,2024-03,West,Apparel,Sneakers,6,69.39,416.34,259.4,156.94,37.7
2024-03-13,2024-03,South,Groceries,Snacks,5,344.5,1722.5,1148.01,574.49,33.4
2024-03-14,2024-03,South,Groceries,Snacks,4,571.3,2285.2,1345.12,940.08,41.1
2024-03-14,2024-03,West,Groceries,Snacks,4,532.38,2129.52,1580.14,549.38,25.8
2024-03-15,2024-03,West,Apparel,T-Shirt,5,211.18,1055.9,585.86,470.04,44.5
2024-03-15,2024-03,North,Furniture,Desk,11,815.11,8966.21,6903.77,2062.44,23
2024-03-15,2024-03,North,Apparel,Jacket,10,768.59,7685.9,5128.89,2557.01,33.3
2024-03-16,2024-03,East,Apparel,T-Shirt,1,565.15,565.15,393.09,172.06,30.4
2024-03-16,2024-03,West,Groceries,Snacks,7,739.53,5176.71,3484.03,1692.68,32.7
2024-03-17,2024-03,South,Furniture,Chair,4,967.18,3868.72,3084.89,783.83,20.3
2024-03-17,2024-03,North,Electronics,Phone,4,655.04,2620.16,2049.44,570.72,21.8
2024-03-17,2024-03,West,Apparel,Sneakers,2,684.45,1368.9,780.03,588.87,43
2024-03-18,2024-03,North,Groceries,Coffee,11,190.24,2092.64,1501.1,591.54,28.3
2024-03-19,2024-03,North,Groceries,Tea,8,520.87,4166.96,2726.81,1440.15,34.6
2024-03-20,2024-03,North,Groceries,Tea,7,887.78,6214.46,4776.36,1438.1,23.1
2024-03-20,2024-03,North,Groceries,Coffee,7,659.54,4616.78,3582.44,1034.34,22.4
2024-03-21,2024-03,West,Groceries,Coffee,9,108.29,974.61,664.03,310.58,31.9
2024-03-22,2024-03,North,Apparel,T-Shirt,6,213.3,1279.8,910.38,369.42,28.9
2024-03-22,2024-03,West,Apparel,Jacket,3,342.97,1028.91,770.09,258.82,25.2
2024-03-22,2024-03,West,Electronics,Phone,10,724.62,7246.2,4924.42,2321.78,32
2024-03-23,2024-03,East,Electronics,Laptop,10,665.13,6651.3,4117.09,2534.21,38.1
2024-03-23,2024-03,South,Furniture,Chair,8,521.3,4170.4,2673.72,1496.68,35.9
2024-03-23,2024-03,East,Apparel,T-Shirt,10,929.29,9292.9,6285.55,3007.35,32.4
2024-03-24,2024-03,North,Furniture,Desk,7,422.87,2960.09,2351.09,609,20.6
2024-03-24,2024-03,East,Electronics,Monitor,7,117.11,819.77,514.13,305.64,37.3
2024-03-24,2024-03,South,Electronics,Laptop,4,518.3,2073.2,1655.74,417.46,20.1
2024-03-25,2024-03,West,Furniture,Desk,1,437.31,437.31,299.94,137.37,31.4
2024-03-26,2024-03,West,Groceries,Snacks,7,628.09,4396.63,3375.29,1021.34,23.2
2024-03-27,2024-03,East,Groceries,Coffee,1,641.14,641.14,385.76,255.38,39.8
2024-03-27,2024-03,South,Groceries,Tea,7,989.47,6926.29,4165.54,2760.75,39.9
2024-03-28,2024-03,South,Furniture,Desk,8,175.63,1405.04,1070.81,334.23,23.8
2024-03-28,2024-03,East,Groceries,Coffee,6,199.6,1197.6,867.44,330.16,27.6
2024-03-29,2024-03,South,Electronics,Laptop,1,125.4,125.4,99.75,25.65,20.5
2024-03-30,2024-03,North,Groceries,Coffee,9,251.89,2267.01,1743.28,523.73,23.1
2024-03-31,2024-03,West,Electronics,Monitor,4,69.78,279.12,169.29,109.83,39.3
2024-03-31,2024-03,East,Electronics,Monitor,6,141.44,848.64,548.64,300,35.4
2024-03-31,2024-03,South,Groceries,Coffee,5,611.37,3056.85,1957.79,1099.06,36
2024-04-01,2024-04,East,Apparel,Jacket,1,360.91,360.91,242.88,118.03,32.7
2024-04-01,2024-04,South,Electronics,Monitor,2,988.42,1976.84,1343.89,632.95,32
2024-04-02,2024-04,East,Furniture,Desk,2,806.49,1612.98,956.96,656.02,40.7
2024-04-02,2024-04,West,Electronics,Phone,2,442.51,885.02,699.11,185.91,21
2024-04-03,2024-04,North,Apparel,Jacket,8,809.79,6478.32,4423.04,2055.28,31.7
2024-04-03,2024-04,South,Furniture,Bookshelf,8,450.95,3607.6,2859.3,748.3,20.7
2024-04-03,2024-04,North,Furniture,Bookshelf,3,839.3,2517.9,1868.73,649.17,25.8
2024-04-04,2024-04,North,Groceries,Snacks,8,336.39,2691.12,1572.94,1118.18,41.6
2024-04-04,2024-04,North,Apparel,Sneakers,10,760.12,7601.2,5992.87,1608.33,21.2
2024-04-04,2024-04,South,Furniture,Desk,9,803.32,7229.88,5312.39,1917.49,26.5
2024-04-05,2024-04,North,Furniture,Chair,7,20.53,143.71,92.65,51.06,35.5
2024-04-05,2024-04,South,Electronics,Laptop,4,87.39,349.56,210.92,138.64,39.7
2024-04-06,2024-04,West,Furniture,Bookshelf,3,639.65,1918.95,1290.89,628.06,32.7
2024-04-06,2024-04,North,Groceries,Tea,2,167.19,334.38,264,70.38,21
2024-04-06,2024-04,North,Apparel,T-Shirt,11,990.16,10891.76,6169.35,4722.41,43.4
2024-04-07,2024-04,South,Apparel,Jacket,3,843.07,2529.21,1483.58,1045.63,41.3
2024-04-08,2024-04,West,Furniture,Desk,3,97.19,291.57,171.48,120.09,41.2
2024-04-09,2024-04,East,Groceries,Tea,1,216.27,216.27,125.72,90.55,41.9
2024-04-09,2024-04,North,Furniture,Bookshelf,2,367.04,734.08,581.94,152.14,20.7
2024-04-09,2024-04,East,Apparel,Sneakers,1,222,222,144.1,77.9,35.1
2024-04-10,2024-04,West,Groceries,Snacks,11,462.76,5090.36,2986.77,2103.59,41.3
2024-04-11,2024-04,West,Apparel,Jacket,7,50.07,350.49,193.52,156.97,44.8
2024-04-12,2024-04,North,Furniture,Bookshelf,7,879.43,6156.01,4588.85,1567.16,25.5
2024-04-13,2024-04,North,Groceries,Snacks,3,901.46,2704.38,2075.94,628.44,23.2
2024-04-13,2024-04,East,Apparel,Sneakers,1,781.88,781.88,585.25,196.63,25.1
2024-04-13,2024-04,West,Groceries,Coffee,11,587.45,6461.95,3757.42,2704.53,41.9
2024-04-14,2024-04,North,Electronics,Headphones,1,485.25,485.25,279.01,206.24,42.5
2024-04-14,2024-04,South,Furniture,Bookshelf,8,497.72,3981.76,2716.44,1265.32,31.8
2024-04-14,2024-04,South,Furniture,Chair,10,25.86,258.6,186.72,71.88,27.8
2024-04-15,2024-04,East,Apparel,Jacket,11,474.36,5217.96,3908.04,1309.92,25.1
2024-04-15,2024-04,North,Groceries,Coffee,8,272.34,2178.72,1643.61,535.11,24.6
2024-04-15,2024-04,West,Apparel,Sneakers,8,373.67,2989.36,2230.89,758.47,25.4
2024-04-16,2024-04,East,Apparel,Jacket,10,213.46,2134.6,1640.39,494.21,23.2
2024-04-16,2024-04,South,Electronics,Phone,2,472.83,945.66,624.27,321.39,34
2024-04-17,2024-04,East,Furniture,Bookshelf,7,609.51,4266.57,3005.19,1261.38,29.6
2024-04-17,2024-04,East,Apparel,Jacket,10,159.47,1594.7,990.49,604.21,37.9
2024-04-17,2024-04,West,Electronics,Monitor,2,368.9,737.8,584.34,153.46,20.8
2024-04-18,2024-04,North,Electronics,Phone,7,18.37,128.59,82.64,45.95,35.7
2024-04-18,2024-04,South,Furniture,Desk,4,370.14,1480.56,839.1,641.46,43.3
2024-04-18,2024-04,South,Apparel,Jacket,7,724.08,5068.56,3884.63,1183.93,23.4
2024-04-19,2024-04,North,Electronics,Headphones,5,969.93,4849.65,3035.09,1814.56,37.4
2024-04-19,2024-04,North,Furniture,Chair,11,282.35,3105.85,2006.37,1099.48,35.4
2024-04-20,2024-04,South,Electronics,Phone,7,221.31,1549.17,960.85,588.32,38
2024-04-21,2024-04,East,Furniture,Desk,5,924.09,4620.45,2897.9,1722.55,37.3
2024-04-21,2024-04,North,Groceries,Tea,9,353.26,3179.34,1904.75,1274.59,40.1
2024-04-22,2024-04,North,Electronics,Monitor,1,973.04,973.04,553.74,419.3,43.1
2024-04-23,2024-04,North,Apparel,T-Shirt,2,11.14,22.28,17.45,4.83,21.7
2024-04-24,2024-04,West,Groceries,Coffee,8,351.25,2810,1854.84,955.16,34
2024-04-25,2024-04,North,Electronics,Monitor,8,483.05,3864.4,2763.88,1100.52,28.5
2024-04-26,2024-04,South,Groceries,Tea,7,87.9,615.3,362.33,252.97,41.1
2024-04-26,2024-04,South,Electronics,Phone,4,639.98,2559.92,1495.7,1064.22,41.6
2024-04-27,2024-04,North,Groceries,Tea,5,415.47,2077.35,1656.52,420.83,20.3
2024-04-28,2024-04,North,Groceries,Coffee,2,12.01,24.02,17.75,6.27,26.1
2024-04-29,2024-04,North,Groceries,Coffee,4,499.99,1999.96,1307.72,692.24,34.6
2024-04-29,2024-04,North,Groceries,Tea,10,495.58,4955.8,3868.58,1087.22,21.9
2024-04-29,2024-04,East,Groceries,Coffee,11,565.81,6223.91,3479.93,2743.98,44.1
2024-04-30,2024-04,East,Furniture,Chair,8,793.54,6348.32,3932.59,2415.73,38.1
2024-05-01,2024-05,West,Apparel,Sneakers,5,229.86,1149.3,810.33,338.97,29.5
2024-05-01,2024-05,North,Furniture,Desk,2,270.9,541.8,301.15,240.65,44.4
2024-05-02,2024-05,South,Apparel,Jacket,4,246.31,985.24,771.53,213.71,21.7
2024-05-03,2024-05,South,Electronics,Monitor,3,587.97,1763.91,1006.36,757.55,42.9
2024-05-03,2024-05,East,Groceries,Coffee,4,502.74,2010.96,1215.14,795.82,39.6
2024-05-04,2024-05,North,Electronics,Monitor,10,744.22,7442.2,5263.57,2178.63,29.3
2024-05-05,2024-05,North,Apparel,Sneakers,5,706.17,3530.85,2416.92,1113.93,31.5
2024-05-05,2024-05,North,Groceries,Tea,1,252.14,252.14,165.84,86.3,34.2
2024-05-05,2024-05,South,Groceries,Snacks,10,233.59,2335.9,1628.93,706.97,30.3
2024-05-06,2024-05,West,Electronics,Monitor,8,786.06,6288.48,4432.5,1855.98,29.5
2024-05-06,2024-05,North,Electronics,Monitor,11,101.28,1114.08,748.9,365.18,32.8
2024-05-06,2024-05,North,Apparel,Sneakers,10,668.67,6686.7,4885.83,1800.87,26.9
2024-05-07,2024-05,North,Apparel,Jacket,4,166.04,664.16,453.42,210.74,31.7
2024-05-07,2024-05,South,Electronics,Laptop,3,732.81,2198.43,1733.23,465.2,21.2
2024-05-07,2024-05,West,Groceries,Coffee,6,53.95,323.7,226.96,96.74,29.9
2024-05-08,2024-05,East,Furniture,Bookshelf,7,762.86,5340.02,3664.82,1675.2,31.4
2024-05-08,2024-05,East,Electronics,Headphones,10,798.99,7989.9,6199.28,1790.62,22.4
2024-05-08,2024-05,South,Apparel,Jacket,1,803.75,803.75,633.55,170.2,21.2
2024-05-09,2024-05,East,Groceries,Coffee,7,691.67,4841.69,3559.2,1282.49,26.5
2024-05-09,2024-05,North,Furniture,Bookshelf,3,702.28,2106.84,1222.28,884.56,42
2024-05-10,2024-05,South,Furniture,Bookshelf,1,853.52,853.52,574.89,278.63,32.6
2024-05-11,2024-05,West,Groceries,Coffee,5,252.98,1264.9,873.09,391.81,31
2024-05-11,2024-05,West,Furniture,Desk,7,168.06,1176.42,674.2,502.22,42.7
2024-05-12,2024-05,East,Apparel,T-Shirt,7,288.95,2022.65,1602.01,420.64,20.8
2024-05-12,2024-05,East,Groceries,Tea,11,306.66,3373.26,2658.06,715.2,21.2
2024-05-13,2024-05,West,Groceries,Tea,8,255.78,2046.24,1242.38,803.86,39.3
2024-05-13,2024-05,West,Furniture,Chair,9,159.35,1434.15,869.09,565.06,39.4
2024-05-13,2024-05,South,Furniture,Desk,4,146.81,587.24,400.81,186.43,31.7
2024-05-14,2024-05,South,Apparel,Sneakers,6,44.49,266.94,200.17,66.77,25
2024-05-15,2024-05,North,Groceries,Snacks,3,162.29,486.87,350.9,135.97,27.9
2024-05-15,2024-05,West,Apparel,Sneakers,8,297.86,2382.88,1409.72,973.16,40.8
2024-05-15,2024-05,West,Furniture,Bookshelf,1,775.19,775.19,428.18,347.01,44.8
2024-05-16,2024-05,West,Furniture,Bookshelf,5,79.5,397.5,260.34,137.16,34.5
2024-05-16,2024-05,South,Furniture,Desk,2,295.59,591.18,340.71,250.47,42.4
2024-05-17,2024-05,South,Groceries,Tea,7,461.26,3228.82,2218.81,1010.01,31.3
2024-05-17,2024-05,East,Apparel,Sneakers,9,352.34,3171.06,2280.31,890.75,28.1
2024-05-17,2024-05,North,Groceries,Snacks,2,823.87,1647.74,1143.04,504.7,30.6
2024-05-18,2024-05,South,Apparel,Sneakers,9,52.89,476.01,293.94,182.07,38.2
2024-05-18,2024-05,West,Electronics,Monitor,6,165.85,995.1,653.91,341.19,34.3
2024-05-18,2024-05,South,Furniture,Chair,4,915.26,3661.04,2550.22,1110.82,30.3
2024-05-19,2024-05,South,Apparel,Jacket,2,680.18,1360.36,820.29,540.07,39.7
2024-05-20,2024-05,South,Apparel,Jacket,3,62.39,187.17,127.41,59.76,31.9
2024-05-20,2024-05,East,Apparel,Sneakers,4,487.45,1949.8,1385.92,563.88,28.9
2024-05-21,2024-05,West,Furniture,Chair,10,995.86,9958.6,6881.68,3076.92,30.9
2024-05-22,2024-05,South,Groceries,Coffee,8,250.39,2003.12,1387.92,615.2,30.7
2024-05-22,2024-05,South,Apparel,Jacket,2,314.38,628.76,459.62,169.14,26.9
2024-05-23,2024-05,West,Apparel,Sneakers,4,523.53,2094.12,1371.24,722.88,34.5
2024-05-23,2024-05,West,Apparel,T-Shirt,1,150.2,150.2,112.69,37.51,25
2024-05-24,2024-05,North,Furniture,Bookshelf,6,564.08,3384.48,1974.76,1409.72,41.7
2024-05-25,2024-05,East,Groceries,Tea,7,761.84,5332.88,4261.14,1071.74,20.1
2024-05-26,2024-05,North,Groceries,Tea,6,58.05,348.3,257.59,90.71,26
2024-05-26,2024-05,West,Electronics,Monitor,6,431.33,2587.98,1635.17,952.81,36.8
2024-05-27,2024-05,West,Groceries,Tea,1,362.21,362.21,279.59,82.62,22.8
2024-05-27,2024-05,West,Groceries,Coffee,11,42.33,465.63,319.05,146.58,31.5
2024-05-28,2024-05,West,Apparel,T-Shirt,10,353.87,3538.7,2457.77,1080.93,30.5
